Бело-Агоштон	Béla-Ágoston/R
Белой	Béla/R
Беля	Béla/R
Бенаш	Bernát/R
Бенгард	Bernhard;Bernát/R
Бендек	Benedek/R
Бенедект	Benedek/R
Бенеден	Benedek/R
Бенедет	Benedek/R
Бенедец	Benedek/R
Бенедеч	Benedek/R
Бениалин	Benjámin/R
Бениалит	Benjámin/R
Бениатин	Benjámin/R
Бенодек	Benedek/R
Бенуи	Benő/R
Бенуй	Benő/R
Бенямен	Benjámin/R
Бергант	Bernhard;Bernát/R
Бергарт	Bernhard;Bernát/R
Берголон	Bertalan/R
Бермолон	Bertalan/R
Бернадош	Bernadett/R
Бернау	Bernát/R
Бернаш	Bernát/R
Бернгарт	Bernhard;Bernát/R
Берпат	Bernát/R
Берталок	Bertalan/R
Бертоломей	Bartolomeo;Bertalan/R
Бертолонов	Bertalan/R
Бершалом	Bertalan/R
Бершалон	Bertalan/R
Бершолон	Bertalan/R
Берюлон	Bertalan/R
Беяла	Béla/R
Биела	Béla/R
Биело	Béla/R
Биило	Béla/R
Бийла	Béla/R
Бийло	Béla/R
Билаж	Balázs/R
Билё	Béla/R
Билло	Béla/R
Бильмош	Vilmos/R
Бйла	Béla/R
Бйло	Béla/R
Бладизар	Boldizsár/R
Бланка	Blanka/R
Бласус	Blasius;Balázs/R
Бойдижар	Boldizsár/R
Бойло	Béla/R
Болаг	Balázs/R
Болаис	Balázs/R
Болайш	Balázs/R
Болач	Balázs/R
Болдажар	Boldizsár/R
Болдашар	Boldizsár/R
Болдежар	Boldizsár/R
Болдижан	Boldizsár/R
Болдимар	Boldizsár/R
Болдинар	Boldizsár/R
Болдинсар	Boldizsár/R
Болдитар	Boldizsár/R
Болдитор	Boldizsár/R
Болдишяр	Boldizsár/R
Болдожар	Boldizsár/R
Болдыжан	Boldizsár/R
Болдыусар	Boldizsár/R
Болеж	Balázs/R
Болент	Bálint/R
Болинтин	Bálint/R
Болит	Bálint/R
Боллаш	Balázs/R
Болог	Balog;Balogh/R
Больдажер	Boldizsár/R
Больдежан	Boldizsár/R
Больдежар	Boldizsár/R
Больджар	Boldizsár/R
Больдижа	Boldizsár/R
Больдижаль	Boldizsár/R
Больдимар	Boldizsár/R
Больдинар	Boldizsár/R
Больдитар	Boldizsár/R
Больдитор	Boldizsár/R
Больдиша	Boldizsár/R
Больжидар	Boldizsár/R
Боляж	Balázs/R
Боляш	Balázs/R
Бондижер	Boldizsár/R
Бонлит	Bálint/R
Борбала	Borbála/R
Борбалло	Borbála/R
Борбало	Borbála/R
Борбара	Barbara;Borbála/R
Борбела	Borbála/R
Борбола	Borbála/R
Боркобаш	Barnabás/R
Борнабеш	Barnabás/R
Борноваш	Barnabás/R
Борновош	Barnabás/R
Бортален	Bertalan/R
Борталон	Bertalan/R
Бортолон	Bertalan/R
Бриталон	Bertalan/R
Бурбала	Borbála/R
Бурбало	Borbála/R
Быйло	Béla/R
Былло	Béla/R
Бэило	Béla/R
Бэйла	Béla/R
Бэйло	Béla/R
Бэлло	Béla/R
Бэлое	Béla/R
Бэля	Béla/R
Бюло	Béla/R
Бялаж	Balázs/R
Бяло	Béla/R
Вайтех	Vojtek;Béla/R
Валенд	Bálint/R
Валерия	Valéria/R
Валинт	Bálint/R
Вальмош	Vilmos/R
Варвара	Barbara/R
Варга	Varga/R
Варго	Varga/R
Васил	Vaszil/R
Василе	Vasile;László/R
Василеи	Vasile;László/R
Василей	Vasile;László/R
Васили	Vasile;László/R
Василии	Vasile;László/R
Василий	Vaszilij/R
Василь	Vaszil/R
Васлав	Václav;Vencel/R
Васло	László/R
Вейла	Béla/R
Вейло	Béla/R
Вела	Béla/R
Вельмаш	Vilmos/R
Вельмош	Vilmos/R
Вельмуш	Vilmos/R
Венгрия	Magyarország/R
Венден	Vendel/R
Вендец	Vendel/R
Венедек	Benedek/R
Вензель	Vencel/R
Вениамин	Benjámin/R
Венианим	Benjámin/R
Венямин	Benjámin/R
Веорика	Veronika;Veronka/R
Вепдел	Vendel/R
Вера	Vera/R
Вереш	Veres;Veress;Vörös/R
Вермеш	Vermes/R
Вермеш Иожеф	Vermes József/R
Вероника	Veronika/R
Веронико	Veronika/R
Вертолин	Bertalan/R
Вертолон	Bertalan/R
Верунико	Veronika/R
Верунка	Veronka;Veronika/R
Виламуш	Vilmos/R
Вилгем	Wilhelm;Vilmos/R
Вилли	Willi;Vilmos/R
Виллюш	Vilmos/R
Вилма	Vilma/R
Вилман	Vilma;Vilmos/R
Вилмут	Vilmos/R
Вилхелм	Wilhelm;Vilmos/R
Вильгельм	Wilhelm;Vilmos/R
Вильмиш	Vilmos/R
Вильмон	Vilmos/R
Вильмот	Vilmos/R
Вильмут	Vilmos/R
Вильнот	Vilmos/R
Виля	Béla/R
Винцельне	Vincéné/R
Винцс	Vince/R
Винцус	Vince/R
Винця	Vince/R
Виола	Viola/R
Вистор	Viktor/R
Владеслав	László/R
Владисл	László/R
Владислав	Vlagyiszláv;László/R
Владислау	László/R
Владислаус	László/R
Владислов	László/R
Влазло	László/R
Власио	László/R
Власлав	László/R
Власло	László/R
Влодислав	László/R
Влодислов	László/R
Воитех	Vojtek;Béla/R
Войтек	Vojtek;Béla/R
Войтен	Vojtek;Béla/R
Войтер	Vojtek;Béla/R
Войтех	Vojtek;Béla/R
Войтик	Vojtek;Béla/R
Войтих	Vojtek;Béla/R
Войтык	Vojtek;Béla/R
Волерия	Valéria/R
Вольдыжар	Boldizsár/R
Ворбала	Borbála/R
Ворго	Varga/R
Ворунька	Veronika;Veronka/R
Восиль	Vasile;László/R
Габгур	Gábor/R
Габоль	Gábor/R
Габор	Gábor/R
Габорг	Gábor/R
Габоров	Gábor/R
Габорт	Gábor/R
Габр	Gábor/R
Габриелла	Gabriella/R
Габрила	Gabriella/R
Габург	Gábor/R
Габурне	Gáborné/R
Габурт	Gábor/R
Габут	Gábor/R
Гавор	Gábor/R
Гавриил	Gavril;Gábor/R
Гаврик	Gavril;Gábor/R
Гаврил	Gavril;Gábor/R
Гаврила	Gavril;Gábor/R
Гаврило	Gavril;Gábor/R
Гавриль	Gavril;Gábor/R
Гажнар	Gáspár/R
Газа	Géza/R
Газе	Géza/R
Газмер	Kázmér/R
Гайбор	Gábor/R
Гайдор	Gábor/R
Галман	Kálmán/R
Гальман	Kálmán/R
Гамбург	Hamburg/R
Гандор	Sándor/R
Гаобор	Gábor/R
Гарбор	Gábor/R
Гарбур	Gábor/R
Гарий	Károly/R
Гарой	Károly/R
Гароль	Károly/R
Гаршнар	Gáspár/R
Гаршпар	Gáspár/R
Гасбар	Gáspár/R
Гаснор	Gáspár/R
Гаспер	Gáspár/R
Гашиор	Gáspár/R
Гашкар	Gáspár/R
Гашкер	Gáspár/R
Гашкор	Gáspár/R
Гашлар	Gáspár/R
Гашмар	Gáspár/R
Гашнар	Gáspár/R
Гашнор	Gáspár/R
Гашпа	Gáspár/R
Гашпад	Gáspár/R
Гашпал	Gáspár/R
Гашпаль	Gáspár/R
Гашпан	Gáspár/R
Гашпард	Gáspár/R
Гашпари	Gáspár/R
Гашпарт	Gáspár/R
Гашпат	Gáspár/R
Гашпер	Gáspár/R
Гашперт	Gáspár/R
Гашпо	Gáspár/R
Гашпод	Gáspár/R
Гашпот	Gáspár/R
Гаштар	Gáspár/R
Гаштор	Gáspár/R
Гашцар	Gáspár/R
Гвердь	György/R
Гебур	Gábor/R
Геже	Dezső/R
Гезела	Gizella/R
Гезело	Gizella/R
Гезер	Géza/R
Гези	Géza/R
Гезор	Géza/R
Гейзер	Géza/R
Гейзи	Géza/R
Гейзор	Géza/R
Гейнрик	Henrik;Heinrich/R
Гейнрих	Henrik/R
Гельзо	Géza/R
Геннрих	Henrik;Heinrich/R
Генрих	Henri/R
Геого	Gergő/R
Геогр	György/R
Георг	Georgij;György/R
Гёорг	György/R
Георге	George;György/R
Георгей	Georgij;Gergely;György/R
Георги	Georgij;György/R
Георгии	Gergely/R
Георгий	Georgij;György/R
Георгй	György/R
Георго	Gergő/R
Георгой	Gergely/R
Георгь	György/R
Георгэй	Gergely/R
Геордь	György/R
Георий	György/R
Георть	György/R
Георьг	György/R
Гергой	Gergő/R
Гергяй	Gergely/R
Гердей	Gergely/R
Гермина	Hermina/R
Гертруд	Gertrúd/R
Гертруда	Gertrúd/R
Герцег	Herceg/R
Гешпар	Gáspár/R
Гзела	Gizella/R
Гиводор	Tivadar/R
Гизела	Gizella/R
Гизелла	Gizella/R
Гизелло	Gizella/R
Гизело	Gizella/R
Гизеля	Gizella/R
Гизена	Gizella/R
Гизене	Gizella/R
Гиойгр	György/R
Гистав	Gusztáv/R
Гитван	István/R
Гоборг	Gábor/R
Говор	Gábor/R
Говрил	Gavril;Gábor/R
Гоза	Géza/R
Гозеф	József/R
Гойзе	Géza/R
Гойош	Lajos/R
Голдижар	Boldizsár/R
Гондраш	András/R
Горват	Horvát;Horváth/R
Горг	György/R
Гошнар	Gáspár/R
Григоре	György/R
Григори	György/R
Григорий	Grigorij;Gergely/R
Гуетов	Gusztáv/R
Гужеф	József/R
Густал	Gusztáv/R
Густар	Gusztáv/R
Густау	Gusztáv/R
Густаф	Gustav;Gusztáv/R
Гюзеф	József/R
Гюлло	Gyula/R
Гябор	Gábor/R
Гязо	Géza/R
Давсид	Dávid/R
Даердь	György/R
Дажей	Dezső/R
Дажею	Dezső/R
Дажуй	Dezső/R
Дайкеш	Dénes/R
Дайнеш	Dénes/R
Далинд	Bálint/R
Дамиель	Dániel/R
Дамоннош	Domonkos/R
Даниели	Dániel/R
Даниеш	Dénes/R
Даниэли	Dániel/R
Дания	Danyija;Danija;Dániel/R
Даниял	Dániel/R
Дардь	György/R
Даунат	Donát/R
Дварфаш	Gyárfás/R
Дверд	György/R
Двердь	György/R
Двёрдь	György/R
Двирдь	György/R
Двирьдь	György/R
Дворд	György/R
Двордь	György/R
Дворть	György/R
Двула	Gyula/R
Двуло	Gyula/R
Двырдь	György/R
Дгордь	György/R
Деардь	György/R
Девзев	Győző/R
Дедь	György/R
Деердь	György/R
Деёрдь	György/R
Дёердь	György/R
Деерт	György/R
Деерть	György/R
Дежа	Géza/R
Дежд	Dezső/R
Дежев	Dezső/R
Дежее	Dezső/R
Дежеи	Dezső/R
Дежей	Dezső/R
Дежёй	Dezső/R
Дежео	Dezső/R
Дежеу	Dezső/R
Дежею	Dezső/R
Дежив	Dezső/R
Дежий	Dezső/R
Дежио	Dezső/R
Дежиу	Dezső/R
Дежию	Dezső/R
Дежно	Dezső/R
Дежов	Dezső/R
Дежой	Dezső/R
Дежуер	Dezső/R
Дежуи	Dezső/R
Дежуй	Dezső/R
Дежы	Dezső/R
Дежыв	Dezső/R
Дежюй	Dezső/R
Деирдь	György/R
Дейжо	Dezső/R
Дейзе	Dezső/R
Дейнеги	Dénes/R
Дёйнеш	Dénes/R
Дейрдь	György/R
Дёло	Gyula/R
Дементер	Demeter/R
Деместер	Demeter/R
Демете	Demeter/R
Деметен	Demeter/R
Деметр	Demeter/R
Деметро	Demeter/R
Демешер	Demeter/R
Демитр	Demeter/R
Дениел	Dániel/R
Деола	Gyula/R
Деорг	György/R
Деорд	György/R
Деордж	György/R
Деорди	Györgyi/R
Деордий	György/R
Деордь	György/R
Дёордь	György/R
Деорж	György/R
Деорт	György/R
Деорть	György/R
Дерген	Gergely/R
Дергть	György/R
Дёрдд	György/R
Дерде	György/R
Дердей	Gergely/R
Дердж	György/R
Дёрдз	György/R
Дерди	György;Györgyi/R
Дёрди	Györgyi/R
Дердии	Györgyi/R
Дердне	Györgyné/R
Дёрдне	Györgyné/R
Дердни	Györgyné/R
Дердь	György/R
Дердьв	György/R
Дердь-Иожеф	György-József/R
Дердь-Иштван	György-István/R
Дердьней	Györgyné/R
Дередь	György/R
Деренц	Ferenc/R
Дерт	György/R
Дёрт	György/R
Дертне	Györgyné/R
Дертолон	Bertalan/R
Дерфаш	Gyárfás/R
Дерфош	Gyárfás/R
Дерч	György/R
Дёрч	György/R
Дерь	György/R
Дете	Dezső/R
Деуже	Dezső/R
Деуло	Gyula/R
Дешете	Demeter/R
Деырдь	György/R
Деяк	Deák/R
Джердж	György/R
Джердь	György/R
Джигмонт	Zsigmond/R
Джигмунд	Zsigmond/R
Джордж	György/R
Джорж	György/R
Джузеппе	Giuseppe;József/R
Джула	Gyula/R
Джуле	Gyula/R
Джуло	Gyula/R
Джюла	Gyula/R
Джюло	Gyula/R
Джюля	Gyula/R
Дзирдь	György/R
Диальфаш	Gyárfás/R
Диана	Diána/R
Диардь	György/R
Диарфаш	Gyárfás/R
Дивадор	Tivadar/R
Диводар	Tivadar/R
Диводор	Tivadar/R
Дигамир	Tihamér/R
Диерд	György/R
Диерди	Györgyi/R
Диердь	György/R
Диерть	György/R
Дижив	Dezső/R
Дийлеш	Dénes/R
Дийнош	Dénes/R
Дила	Béla/R
Динет	Dénes/R
Динеус	Dénes/R
Динеш-Иштван	Dénes-istván/R
Диняш	Dénes/R
Диола	Gyula/R
Дионис	Dénes/R
Диорг	György/R
Диорд	György/R
Диорди	Györgyi/R
Диордь	György/R
Диорть	György/R
Дипеш	Dénes/R
Дирд	György/R
Дирдж	György/R
Дирдь	György/R
Дирт	György/R
Диула	Gyula/R
Диэрд	György/R
Дйорд	György/R
Дйордь	György/R
Дйула	Gyula/R
Дйырдь	György/R
Дмитру	Demeter/R
Днердь	György/R
Доердь	György/R
Доерт	György/R
Дожи	Dezső/R
Дожу	Dezső/R
Дожэ	Dezső/R
Доирдь	György/R
Дойнеш	Dénes/R
Дола	Gyula/R
Доматор	Demeter/R
Домокнус	Domonkos/R
Дондь	György/R
Донрдь	György/R
Доордь	György/R
Дорвдь	György/R
Дордж	György/R
Доротья	Dorottya/R
Дорт	György/R
Доула	Gyula/R
Доуло	Gyula/R
Доунат	Donát/R
Доырдь	György/R
Доюла	Gyula/R
Дрдь	György/R
Дрердь	György/R
Дулья	Gyula/R
Дуля	Gyula/R
Дуюла	Gyula/R
Дыгдь	György/R
Дыердь	György/R
Дыйнош	Dénes/R
Дыныш	Dénes/R
Дырд	György/R
Дырды	Györgyi/R
Дырдь	György/R
Дырть	György/R
Дырьдь	György/R
Дьевзев	Győző/R
Дьёдь	György/R
Дьеордь	György/R
Дьер	György/R
Дьерго	Gergő/R
Дьёрди	Györgyi/R
Дьердне	Györgyné/R
Дьерт	György/R
Дьирд	György/R
Дьирдь	György/R
Дьоердь	György/R
Дьоло	Gyula/R
Дьорди	Györgyi/R
Дьорт	György/R
Дьорч	György/R
Дьосрдь	György/R
Дьырдь	György/R
Дьюрт	György/R
Дьярдь	György/R
Дэжев	Dezső/R
Дэжив	Dezső/R
Дэжий	Dezső/R
Дэжой	Dezső/R
Дэжуй	Dezső/R
Дэза	Géza/R
Дэту	Dezső/R
Дюард	György/R
Дюердь	György/R
Дюерт	György/R
Дюерть	György/R
Дюже	Dezső/R
Дюзуй	Győző/R
Дюйло	Gyula/R
Дюл	Gyula/R
Дюла-Иозеф	Gyula-József/R
Дюлла	Gyula/R
Дюлле	Gyula/R
Дюлло	Gyula/R
Дюлов	Gyula/R
Дюлог	Gyula/R
Дюлод	Gyula/R
Дюло-Иштван	Gyula-István/R
Дюлок	Gyula/R
Дюло-Левенте	Gyula-Levente/R
Дюлон	Gyula/R
Дюлю	Gyula/R
Дюля	Gyula/R
Дюменик	Dominik/R
Дюоло	Gyula/R
Дюорд	György/R
Дюордь	György/R
Дюрди	György/R
Дюрдий	György/R
Дюрдо	György/R
Дюрдю	György/R
Дюредь	György/R
Дюродь	György/R
Дюрт	György/R
Дюрч	György/R
Дюуло	Gyula/R
Дюэрдь	György/R
Дюэрть	György/R
Дююзе	Győző/R
Дяже	Dezső/R
Дяордь	György/R
Дярфаш	Gyárfás/R
Дярфиш	Gyárfás/R
Дярфош	Gyárfás/R
Дяшпор	Gáspár/R
Еанош	János/R
Евгений	Jevgenyij;Jenő/R
Евгень	Jevgenyij;Jenő/R
Евжев	József/R
Евжеф	József/R
Егоп	Egon/R
Еден	Ödön/R
Еежеф	József/R
Еезеф	József/R
Еижеф	József/R
Ейжеф	József/R
Екатерина	Jekatyerina;Katalin/R
Елезавета	Elizabet;Erzsébet/R
Елезовета	Elizabet;Erzsébet/R
Елена	Jelena;Ilona/R
Елизабет	Elizabet;Erzsébet/R
Елизабета	Elizabet;Erzsébet/R
Елизавет	Elizabet;Erzsébet/R
Елизавета	Jelizaveta;Erzsébet/R
Елизобета	Elizabet;Erzsébet/R
Елизовета	Jelizaveta;Erzsébet/R
Емельян	Emília/R
Емериг	Imre/R
Емерин	Imre/R
Емерип	Imre/R
Емерих	Imre/R
Емма	Emma/R
Емре	Imre/R
Емрих	Imre/R
Енö	Ernő/R
Еней	Jenő/R
Енне	Anna/R
Енов	Jenő/R
Еной	Jenő/R
Енуй	Jenő/R
Енуш	János/R
Еожев	József/R
Еожеф	József/R
Еожиф	József/R
Еозеф	József/R
Еозоф	József/R
Еосеф	József/R
Еосиф	József/R
Еоужеф	József/R
Ереме	Imre/R
Еремияш	Jeremiás/R
Еремяш	Jeremiás/R
Ержебед	Erzsébet/R
Ержебет	Erzsébet/R
Ержи	Erzsi;Erzsébet/R
Ержибед	Erzsébet/R
Ержибет	Erzsébet/R
Ерков	Ernő/R
Ерней	Ernő/R
Ерной	Ernő/R
Ернуй	Ernő/R
Ернюй	Ernő/R
Есеф	József/R
Есиф	József/R
Ёсиф	József/R
Естеф	Eszter/R
Етелка	Etelka/R
Етефан	István/R
Еуезеф	József/R
Еужев	József/R
Ёужев	József/R
Еужеф	József/R
Еужефней	Józsefné/R
Ёузев	József/R
Еузеф	József/R
Еусеф	József/R
Еушев	József/R
Еушеф	József/R
Ештван	István/R
Еюжеф	József/R
Еюзеф	József/R
Жегманд	Zsigmond/R
Жерж	György/R
Живодор	Tivadar/R
Жига	Zsiga;Zsigmond/R
Жигизмунд	Sigismund;Szigizmund;Zsigmond/R
Жигмайд	Zsigmond/R
Жигмат	Zsigmond/R
Жигминт	Zsigmond/R
Жигмуж	Zsigmond/R
Жигмуна	Zsigmond/R
Жигмут	Zsigmond/R
Жиго	Zsigmond;Zsiga/R
Жидман	Zsigmond/R
Жид-Монд	Zsigmond/R
Жидмонт	Zsigmond/R
Жидмунд	Zsigmond/R
Жизмунд	Zsigmond/R
Жикман	Zsigmond/R
Жикмун	Zsigmond/R
Жилмунд	Zsigmond/R
Жинмоль	Zsigmond/R
Жисмунд	Zsigmond/R
Житван	István/R
Жодмон	Zsigmond/R
Жорж	György/R
Жофия	Zsófia/R
Жофна	Zsófia/R
Жофья	Zsófia/R
Жужа	Zsuzsa/R
Жужан	Zsuzsanna;Zsuzsa/R
Жужана	Zsuzsanna/R
Жужанна	Zsuzsanna/R
Жужанно	Zsuzsanna/R
Жужано	Zsuzsanna/R
Жужжана	Zsuzsanna/R
Жужжанна	Zsuzsanna/R
Жужонна	Zsuzsanna/R
Жула	Gyula/R
Жушана	Zsuzsanna/R
Закарьяш	Zakariás/R
Закорьяш	Zakariás/R
Залитан	Zoltán/R
Замуел	Sámuel/R
Зандор	Sándor/R
Занош	János/R
Захарияш	Zakariás/R
Захарьяш	Zakariás/R
Зебостьян	Szebasztián;Sebestyén/R
Зегезьмунд	Sigismund;Szigizmund;Zsigmond/R
Зегмунд	Zsigmond/R
Зейгмунд	Zsigmond/R
Зигизмунд	Szigizmund; Sigismund;Zsigmond/R
Зигман	Zsigmond/R
Зигмун	Zsigmond/R
Зигмунц	Zsigmond/R
Зигмут	Zsigmond/R
Зигтон	Zsigmond/R
Зизмунд	Zsigmond/R
Зикфрид	Szigfrid/R
Зильверст	Szilveszter/R
Зильмунд	Zsigmond/R
Зильтан	Zoltán/R
Зисмон	Zsigmond/R
Зоитан	Zoltán/R
Золбан	Zoltán/R
Золган	Zoltán/R
Золман	Zoltán/R
Золтан-Иожеф	Zoltán-József/R
Золтол	Zoltán/R
Зольжан	Zoltán/R
Зольман	Zoltán/R
Зольтен	Zoltán/R
Зольтнар	Zoltan/R
Зольшан	Zoltán/R
Зомтан	Zoltán/R
Зонталь	Zoltán/R
Зонтан	Zoltán/R
Зонтон	Zoltán/R
Зоолтон	Zoltán/R
Зоотан	Zoltán/R
Зоштан	Zoltán/R
Зузана	Zsuzsanna/R
Зула	Gyula/R
Иажеф	József/R
Иазеф	József/R
Иал	Pál/R
Ианошне	Jánosné/R
Иасиф	József/R
Иаузеф	József/R
Ива	Iva;Éva/R
Иван	Iván;János/R
Ивжеф	József/R
Ивош	Ivo/R
Ивштван	István/R
Игитван	István/R
Игнад	Ignác/R
Игнадц	Ignác/R
Игназ	Ignác/R
Игнаи	Ignác/R
Игнал	Ignác/R
Игнате	Ignác/R
Игнати	Ignác/R
Игнатс	Ignác/R
Игнату	Ignác/R
Игнатц	Ignác/R
Игнау	Ignác/R
Игнац-Иожеф-Янош	Ignác-József-János/R
Игнацов	Ignác/R
Игнач	Ignác/R
Игнаш	Ignác/R
Игняц	Ignác/R
Игпат	Ignác/R
Игтван	István/R
Игшван	István/R
Ида	Ida/R
Иден	Ödön/R
Идо	Ida/R
Иёжев	József/R
Иежеф	József/R
Иёжеф	József/R
Иезеф	József/R
Иёзеф	József/R
Иезиф	József/R
Иенац	Ignác/R
Иесиф	József/R
Иеузеф	József/R
Ижев	József/R
Ижеф	József/R
Ижияш	Ézsaiás/R
Изеф	József/R
Изиф	József/R
Изнац	Ignác/R
Изобела	Izabella/R
Изобелла	Izabella/R
Ииштван	István/R
Илана	Ilona/R
Илейш	Illés/R
