Árdánháza	Ardanove	Ukrajna
Árdány	Ardan	Románia
Argyas	Arghişu	Románia
Árki	Archia	Románia
Árkod	Jarkovac	Szerbia
Árkos	Arcuş	Románia
Ármándombja	Dealu Armanului	Románia
Arnótfalva	Arnutovce	Szlovákia
Árok	Jarok	Ukrajna
Árokalja	Arcalia	Románia
Árokszállás	Grafenschachen	Ausztria
Árpád	Arpăşel	Románia
Árpástó	Braniştea	Románia
Ársica	Arşiţa	Románia
Árvátfalva	Arvăţeni	Románia
Árvaváralja	Oravský Podzámok	Szlovákia
Ásgút	Podhorany	Szlovákia
Assakürt	Nové Sady	Szlovákia
Aszó	Osoi	Románia
Aszóirtás	Sohodol	Románia
Aszós	Osuské	Szlovákia
Asszonyfalva	Axente Sever	Románia
Asszonynépe	Asinip	Románia
Asszonyrét	Ogradena	Románia
Asszonyvására	Târguşor	Románia
Asztély	Asztely	Ukrajna
Aszubeszterce	Dorolea	Románia
Atosfalva	Hoteşti	Románia
Atya	Atea	Románia
Atyás	Ateaş	Románia
Atyha	Atia	Románia
Aurélháza	Răuţi	Románia
Avasfalva	Brăneşti	Románia
Avasfelsőfalu	Negreşti-Oaş	Románia
Avaslekence	Lechinţa	Románia
Avaspatak	Valea Seacă	Románia
Avasújfalu	Certeze	Románia
Avasújváros	Oraşu Nou	Románia
Bába	Baba	Románia
Bábafalva	Babie	Szlovákia
Bábahalma	Bobohalma	Románia
Bábakút	Babicsi	Ukrajna
Bábakút	Fântâna Babii	Románia
Babarét	Babínec	Szlovákia
Bábaszék	Babiná	Szlovákia
Bábca	Babţa	Románia
Babin	Babín	Szlovákia
Babindál	Babindol	Szlovákia
Babkó	Babkov	Szlovákia
Báboc	Băbuţiu	Románia
Bábolna	Bobâlna	Románia
Bábony	Băbiu	Románia
Babsa	Babşa	Románia
Baca	Baţa	Románia
Bacalár	Băţălar	Románia
Backamadaras	Păsăreni	Románia
Bacúr	Bacúrov	Szlovákia
Bács	Bač	Szerbia
Bácsandrás	Bački Sokolac	Szerbia
Bacsava	Csabanyivka	Ukrajna
Bácsbéreg	Bački Breg	Szerbia
Bacsfa	Báč	Szlovákia
Bácsfalu	Baciu	Románia
Bácsfalva	Bacea	Románia
Bácsfeketehegy	Feketić	Szerbia
Bácsföldvár	Bačko Gradište	Szerbia
Bácsgyulafalva	Telečka	Szerbia
Bácshadikfalva	Stepanovićevo	Szerbia
Bácsi	Băcia	Románia
Bácsjózseffalva	Novi Žednik	Szerbia
Bacska	Bačka	Szlovákia
Bacskafalva	Baštíň	Szlovákia
Bácskeresztúr	Ruski Krstur	Szerbia
Bácskertes	Kupusina	Szerbia
Bacskó	Bačkov	Szlovákia
Bácskossuthfalva	Stara Moravica	Szerbia
Bacsó	Csabanyivka	Ukrajna
Bacsófalva	Počúvadló	Szlovákia
Bácsordas	Karavukovo	Szerbia
Bácspalánka	Bačka Palanka	Szerbia
Bácsszentiván	Prigrevica	Szerbia
Bácsszőllős	Bački Vinogradi	Szerbia
Bácstelek	Băcel	Románia
Bácstopolya	Bačka Topola	Szerbia
Bácstóváros	Tovariševo	Szerbia
Bácsújfalu	Selenča	Szerbia
Bácsújlak	Bačko Novo Selo	Szerbia
Badafalva	Weichselbaum	Ausztria
Badaló	Badalovo	Ukrajna
Bádok	Bădeşti	Románia
Bádon	Badon	Románia
Badótanya	Bagyiv	Ukrajna
Bagolyfalu	Hurez	Románia
Bagolyháza	Bilaszovica	Ukrajna
Bagonya	Bogojina	Szlovénia
Bagota	Bohatá	Szlovákia
Bágy	Bădeni	Románia
Bagyan	Baďan	Szlovákia
Bágyon	Bădeni	Románia
Báhony	Báhoň	Szlovákia
Bajánháza	Bajany	Szlovákia
Bajcs	Bajč	Szlovákia
Bajesd	Băieşti	Románia
Bajfalu	Dăneşti	Románia
Bajka	Bajka	Szlovákia
Bajmóc	Bojnice	Szlovákia
Bajmócapáti	Opatovce nad Nitrou	Szlovákia
Bajmóclazán	Lazany	Szlovákia
Bajmóctölgyes	Dubnica	Szlovákia
Bajmócska	Bojničky	Szlovákia
Bajmok	Bajmok	Szerbia
Bajnokfalva	Buhani	Románia
Bajor	Bajerov	Szlovákia
Bajorvágás	Bajerovce	Szlovákia
Bajsa	Bajša	Szerbia
Bajta	Bajtava	Szlovákia
Baka	Baka	Szlovákia
Bakabánya	Pukanec	Szlovákia
Bakamező	Bacău de Mijloc	Románia
Bakónak	Bukovnica	Szlovénia
Bakonya	Băcâia	Románia
Bakostörék	Veľké Teriakovce	Szlovákia
Bakóvár	Bacova	Románia
Baksafalva	Bocksdorf	Ausztria
Bala	Băla	Románia
Balalény	Băleni	Románia
Balánbánya	Bălan	Románia
Balátatelep	Bălata	Románia
Balátpuszta	Kupinik	Szerbia
Balavásár	Bălăuşeri	Románia
Balázs	Baláže	Szlovákia
Balázsd	Blajova	Románia
Balazsér	Balazser	Ukrajna
Balázsfa	Blažov	Szlovákia
Balázsfalva	Blaj	Románia
Balázsi	Vlača	Szlovákia
Balázsszeg	Izvoarele	Románia
Balázstelke	Blăjel	Románia
Balázsvágás	Javorina	Szlovákia
Báld	Balda	Románia
Baldóc	Baldovce	Szlovákia
Báldovin	Baldovin	Románia
Bálinc	Balinţ	Románia
Bálintfalva	Valentová	Szlovákia
Bálintpuszta	Valentovce	Szlovákia
Balkfalva	Bălceşti	Románia
Ballaháza	Mal	Románia
Ballósfalva	Balazsijeve	Ukrajna
Balogd	Blažice	Szlovákia
Balogér	Ratkovská Zdychava	Szlovákia
Balogfala	Blhovce	Szlovákia
Balogiványi	Ivanice	Szlovákia
Balogpádár	Padarovce	Szlovákia
Balogrussó	Hrušovo	Szlovákia
Balogtamási	Tomášovce	Szlovákia
Balogújfalu	Vieska nad Blhom	Szlovákia
Balomir	Balomiru de Câmp	Románia
Balomir	Balomir	Románia
Balony	Baloň	Szlovákia
Balotafalu	Aciua	Románia
Balpataka	Babin Potok	Szlovákia
Balsa	Balşa	Románia
Báltfalva	Băltele	Románia
Bálványoscsaba	Ceaba	Románia
Bálványosváralja	Unguraş	Románia
Bályok	Balc	Románia
Bán	Bánovce nad Bebravou	Szlovákia
Báncsipkés	Šipkov	Szlovákia
Bándol	Weiden bei Rechnitz	Ausztria
Bánffydongó	Dângău Mare	Románia
Bánffyhunyad	Huedin	Románia
Bánffytanya	Sărmăşel-Gară	Románia
Bánffytótfalu	Vale	Románia
Bánfihegy	Banfi	Horvátország
Banica	Băniţa	Románia
Banka	Banka	Szlovákia
Bánkaraszna	Krasná Ves	Szlovákia
Bánkeszi	Bánov	Szlovákia
Bánlak	Banloc	Románia
Bánluzsány	Podlužany	Szlovákia
Bánóc	Bánovce nad Ondavou	Szlovákia
Bánostor	Banoštor	Szerbia
Bánpatak	Banpotoc	Románia
Bánpecsenyéd	Pečeňany	Szlovákia
Bánpetri	Peťovka	Szlovákia
Bánruszkóc	Ruskovce	Szlovákia
Bántolmács	Tălmaci	Románia
Bántornya	Turnišče	Szlovénia
Bántölgyes	Dubnička	Szlovákia
Bánudvard	Dvorec	Szlovákia
Bánuta	Banuta	Szlovénia
Bánzabos	Závada	Szlovákia
Bánya	Bănia	Románia
Bánya	Baňa	Szlovákia
Bányabükk	Vâlcele	Románia
Bányácska	Steingraben	Ausztria
Bányafalu	Szuszkove	Ukrajna
Bányahavas	Muntele Băişorii	Románia
Bányahegy	Pleškovec	Horvátország
Bányapataka	Banské	Szlovákia
Bányavár	Peklenica	Horvátország
Bányavölgy	Duplín	Szlovákia
Bányika	Baica	Románia
Bánnyíres	Brezolupy	Szlovákia
Bár	Baru	Románia
Baraca	Barca	Szlovákia
Baracháza	Bărăteaz	Románia
Baracka	Braväcovo	Szlovákia
Barackos	Baraţcoş	Románia
Baracska	Bardoňovo	Szlovákia
Baradna	Brádno	Szlovákia
Barafalva	Bara	Románia
Barakony	Brakoň	Szlovákia
Barancs	Zemplinsky Branč	Szlovákia
Baranda	Baranda	Szerbia
Baranya	Baraninci	Ukrajna
Baranyabán	Popovac	Horvátország
Baranyakisfalud	Branjina	Horvátország
Baranyaszentistván	Petlovac	Horvátország
Baranyavár	Branjin Vrh	Horvátország
Báránykút	Bărcut	Románia
Bárányos	Ovča	Szerbia
Barátfalva	Ollersdorf im Burgenland	Ausztria
Baráthely	Brateiu	Románia
Barátka	Bratca	Románia
Barátlak	Rohožník	Szlovákia
Barátmajor	Mönchenmeierfhof	Ausztria
Barátos	Brateş	Románia
Barátostelep	Baraţcoş	Románia
Barátszabadi	Mníchova Lehota	Szlovákia
Baráttelke	Magnezitovce	Szlovákia
Barátudvar	Mönchof	Ausztria
Barbos	Bărbosu	Románia
Bárbura	Barbura	Románia
Bárca	Barca	Szlovákia
Barcánfalva	Bârsana	Románia
Barcarozsnyó	Râşnov	Románia
Barcaszentpéter	Sânpetru	Románia
Barcaújfalu	Satu Nou	Románia
Bárdfalva	Berbeşti	Románia
Bárdháza	Barbovo	Ukrajna
Bardoc	Brăduţ	Románia
Bárdossifalva	Bagremovo	Szerbia
Báré	Bărăi	Románia
Baresd	Bărăştii Iliei	Románia
Baresd	Bărăştii Haţegului	Románia
Bári	Bara	Szlovákia
Barka	Bôrka	Szlovákia
Bárkány	Barcani	Románia
Barkaszó	Barkaszove	Ukrajna
Barkó	Brekov	Szlovákia
Barkóc	Bakovci	Szlovénia
Barkócháza	Ruská Volová	Szlovákia
Barlabástanya	Bârlibaş	Románia
Barlafalu	Borleşti	Románia
Barnabás	Kosztilivka	Ukrajna
Barnafalva	Bârna	Románia
Báródbeznye	Delureni	Románia
Báródsomos	Corniţel	Románia
Baromlak	Borumlaca	Románia
Barossháza	Pružina	Szlovákia
Barót	Baraolt	Románia
Barsbaracska	Bardoňovo	Szlovákia
Barsberzence	Tekovská Breznica	Szlovákia
Barsbese	Beša	Szlovákia
Barsendréd	Ondrejovce	Szlovákia
Barsfüss	Trávnica	Szlovákia
Barskapronca	Kopernica	Szlovákia
Barskisfalud	Vieska nad Žitavou	Szlovákia
Barslédec	Ladice	Szlovákia
Bársonyfalva	Brezon	Románia
Barstaszár	Tesárske Mlyňany	Szlovákia
Barsvörösvár	Červený Hrádok	Szlovákia
Bart	Bruty	Szlovákia
Bártfa	Bardejov	Szlovákia
Bártfaújfalu	Bardejovská Nová Ves	Szlovákia
Bartos	Bartošova Lehôtka	Szlovákia
Bartosfalva	Bartošovce	Szlovákia
Barza	Bârsa	Románia
Barzafalva	Bârzeşti	Románia
Basahid	Bašaid	Szerbia
Baska	Baška	Szlovákia
Bassóc	Bašovce	Szlovákia
Bástya	Baştea	Románia
Baszarabásza	Basarabasa	Románia
Bát	Bátovce	Szlovákia
Batár	Bratove	Ukrajna
Batarcs	Bătarci	Románia
Bátfa	Batfa	Ukrajna
Batiz	Batiz	Románia
Batiz	Botiz	Románia
Batiza	Botiza	Románia
Batizfalva	Batizovce	Szlovákia
Batizháza	Botez	Románia
Batizvasvári	Oşvarău	Románia
Bátka	Bátka	Szlovákia
Bátony	Batin	Románia
Bátorfalu	Bátorová	Szlovákia
Bátorhegy	Krajná Bystrá	Szlovákia
Bátorkeszi	Bátorove Kosihy	Szlovákia
Bátos	Batoş	Románia
Batrina	Bătrâna	Románia
Batta	Bata	Románia
Bátyafalva	Bătuţa	Románia
Bátyok	Bačkovík	Szlovákia
Battyán	Boťany	Szlovákia
Battyánd	Puconci	Szlovénia
Battyánfalva	Rakičan	Szlovénia
Battyánháza	> Óbéb (1914)	Románia
Bátyú	Batyove	Ukrajna
Baucár	Băuţar	Románia
Bazéd	Bozed	Románia
Báziás	Baziaş	Románia
Bazin	Pezinok	Szlovákia
Bázna	Bazna	Románia
Bázos	Bazoş	Románia
Bázosd	Begheiu Mic	Románia
Beckó	Beckov	Szlovákia
Beckókisfalu	Beckovská Vieska	Szlovákia
Becsó	Bečov	Szlovákia
Béd	Bádice	Szlovákia
Bede	Bedeni	Románia
Bedecs	Bedeciu	Románia
Bedellő	Izvoarele	Románia
Bedőháza	Bedevlja	Ukrajna
Bégabalázsd	Baloşeşti	Románia
Bégafő	Klek	Szerbia
Bégahosszúpatak	Valea Lungă Română	Románia
Bégakalodva	Cladova	Románia
Bégakörtés	Păru	Románia
Bégalankás	Luncanii de Jos	Románia
Bégalaposnok	Lăpuşnic	Románia
Bégamonostor	Mănăştiur	Románia
Béganyiresd	Breazova	Románia
Bégapata	Spata	Románia
Bégaszederjes	Sudriaş	Románia
Bégaszentes	Sinteşti	Románia
Bégaszentgyörgy	Žitište	Szerbia
Bégaszentmihály	Sânmihaiu Român	Románia
Bégaszuszány	Susani	Románia
Begecs	Begeč	Szerbia
Begengyátpásztély	Behengyacka Pasztilj	Ukrajna
Behárfalu	Liptovské Beharovce	Szlovákia
Beharóc	Beharovce	Szlovákia
Beje	Behynce	Szlovákia
Békafalu	Krottendorf bei Güssing	Ausztria
Békásd	Žabnik	Horvátország
Békástelep	Becaş	Románia
Békató	Krottendorf bei Neuhaus am Klausenbach	Ausztria
Béke	Mierovo	Szlovákia
Beketfa	Beketfa	Szlovákia
Békova	Bikovo	Szerbia
Bél	Beliu	Románia
Béla	Belá	Szlovákia
Bélabánya	Banská Belá	Szlovákia
Bélád	Beladice	Szlovákia
Bélafalva	Belani	Románia
Bélagyertyános	Hrabovka	Szlovákia
Bélaház	Boleráz	Szlovákia
Bélajablánc	Iablaniţa	Románia
Bélakorompa	Krempachy	Lengyelország
Bélamácsó	Mačov	Szlovákia
Bélamajor	Karadjordjevo	Szerbia
Bélapataka	Valaská Belá	Szlovákia
Bélárkos	Archiş	Románia
Belatinc	Beltinci	Szlovénia
Bélaudvarnok	Nitrica	Szlovákia
Bélavézse	Beloveža	Szlovákia
Bélbor	Bilbor	Románia
Béld	Beluj	Szlovákia
Belebova	Belebovo	Ukrajna
Bélegregy	Agrişu Mic	Románia
Belejőc	Belejovce	Szlovákia
Belence	Belinţ	Románia
Belényes	Beiuş	Románia
Belényesforró	Forău	Románia
Belényesirtás	Lazuri de Beiuş	Románia
Belényesörvényes	Urviş de Beiuş	Románia
Belényessonkolyos	Şuncuiş	Románia
Belényesújlak	Uileacu de Beiuş	Románia
Belényesvalány	Vălanii de Beiuş	Románia
Belényesszeleste	Sălişte de Beiuş	Románia
Belényesszentmárton	Sânmartin de Beiuş	Románia
Belényesszentmiklós	Sânnicolau de Beiuş	Románia
Belesz	Blesovce	Szlovákia
Beletháza	Belotinţ	Románia
Belezsény	Belejeni	Románia
Bélfenyér	Belfir	Románia
Bélhagymás	Hăşmaş	Románia
Belica	Belica	Horvátország
Belinc	Belince	Szlovákia
Bélkalocsa	Călacea	Románia
Bélkaroly	Coroi	Románia
Bélkirálymező	Craiva	Románia
Bélkismaros	Stoineşti	Románia
Bella	Belá	Szlovákia
Bellény	Belín	Szlovákia
Bellus	Beluša	Szlovákia
Bélmárkaszék	Seliştea	Románia
Bélmező	Lunca Mărcuşului	Románia
Bélmocsolya	Lunca Teuzului	Románia
Bélnagymaros	Mărăuş	Románia
Belovár	Bjelovar	Horvátország
Bélörvényes	Urvişu de Beliu	Románia
Bélrogoz	Rogoz de Beliu	Románia
Belsőtelep	Fundătura	Románia
Béltekhodos	Hodişa	Románia
Bélvata	Vojtechovce	Szlovákia
Bélzerénd	Zerindu Mic	Románia
Bély	Biel	Szlovákia
Bellye	Bilje	Horvátország
Béna	Belina	Szlovákia
Benatina	Beňatina	Szlovákia
Bencéd	Benţid	Románia
Bencenc	Aurel Vlaicu	Románia
Bendorf	Beneşti	Románia
Bene	Benya	Ukrajna
Benedekfalu	Beňadiková	Szlovákia
Benedekfalva	Benesat	Románia
Benedeki	Benedikivci	Ukrajna
Benedekvágása	Beňadikovce	Szlovákia
Benedikó	Beňadovo	Szlovákia
Benefalva	Benice	Szlovákia
Benesháza	Beňuš	Szlovákia
Benge	Šumarina	Horvátország
Benic	Benice	Szlovákia
Benice	Benica	Szlovénia
Benkepatony	Benkova Potôň	Szlovákia
Benkőfalva	Benkovce	Szlovákia
Bény	Bíňa	Szlovákia
Benyefalva	Beneşti	Románia
Benyék	Beniakovce	Szlovákia
Bényes	Biniş	Románia
Benyólehota	Beňova Lehota	Szlovákia
Benyusháza	Beňušovce	Szlovákia
Beocsin	Beočin	Szerbia
Beocsin Monostor	Manaštir Beočin	Szerbia
Beodra	Beodra	Szerbia
Bércalja	Janovce	Szlovákia
Bérczes	Dolná Poruba	Szlovákia
Bercse	Bercea	Románia
Bercsény	Svinná	Szlovákia
Bercsényifalva	Dubrinics	Ukrajna
Berdárka	Brdárka	Szlovákia
Bere	Berea	Románia
Bereck	Breţcu	Románia
Beréd	Brebi	Románia
Béreg	Bački Breg	Szerbia
Beregardó	Ardiv	Ukrajna
Beregbárdos	Bukovec	Ukrajna
Beregbükkös	Bukovinka	Ukrajna
Beregdéda	Deda	Ukrajna
Beregdubróka	Gyibrivka	Ukrajna
Beregfogaras	Zubovka	Ukrajna
Beregforrás	Rodnikivka	Ukrajna
Bereghalmos	Skuratyivci	Ukrajna
Beregi	Berehi	Ukrajna
Beregkisalmás	Zaluzsje	Ukrajna
Beregkisfalud	Szilce	Ukrajna
Beregkövesd	Kamjanszke	Ukrajna
Beregleányfalva	Lalove	Ukrajna
Beregnagyalmás	Jablunyiv	Ukrajna
Beregpálfalva	Volovica	Ukrajna
Beregpapfalva	Gyilok	Ukrajna
Beregrákos	Rakosin	Ukrajna
Beregrosztoka	Velika Roztoka	Ukrajna
Beregsárrét	Kalnik	Ukrajna
Beregsom	Som	Ukrajna
Beregszász	Berehove	Ukrajna
Beregszeg	Šulekovo	Szlovákia
Beregsziklás	Scserbovec	Ukrajna
Beregszilvás	Kuzmine	Ukrajna
Beregszőllős	Lohove	Ukrajna
Beregújfalu	Beregujfalu	Ukrajna
Berekalja	Podlužany	Szlovákia
Berekeresztúr	Bâra	Románia
Berekfalu	Olešna	Szlovákia
Berekszó	Bârsău	Románia
Berekszó	Beregsău Mare	Románia
Berekszónémeti	Beregsău Mic	Románia
Berekutca	Berecuţa	Románia
Berencs	Branč	Szlovákia
Berencsbukóc	Bukovec	Szlovákia
Berencsfalu	Prenčov	Szlovákia
Berencsróna	Rovensko	Szlovákia
Berencsváralja	Podbranč	Szlovákia
Berend	Berindan	Románia
Berény	Beriu	Románia
Berestye	Breştea	Románia
Berestyénfalva	Briešťie	Szlovákia
Beresztelke	Breaza	Románia
Beresztény	Briestené	Szlovákia
Beresztóc	Banatski Brestovac	Szerbia
Berethalom	Biertan	Románia
Beretke	Bretka	Szlovákia
Berettő	Bracovce	Szlovákia
Berettyócsohaj	Ciuhoi	Románia
Berettyódéda	Ghida	Románia
Berettyófarnos	Sfârnaş	Románia
Berettyókirályi	Chiraleu	Románia
Berettyókohány	Cohani	Románia
Berettyószéplak	Suplacu de Barcău	Románia
Berezinka	Berezinka	Ukrajna
Berezna	Berezove	Ukrajna
Bereznek	Berezniki	Ukrajna
Bereznik	Berezniki	Ukrajna
Berezó	Brezová pod Bradlom	Szlovákia
Berezóc	Brezovec	Szlovákia
Berezóka	Brezovka	Szlovákia
Berhény	Briheni	Románia
Berivoj	Berivoi	Románia
Berkeháza	Berkovci	Szlovénia
Berkenyéd	Jarabina	Szlovákia
Berkenyes	Berchieşu	Románia
Berkes	Borzeşti	Románia
Berkeszfalu	Percosova	Románia
Berkeszpataka	Berchezoaia	Románia
Berki	Rokycany	Szlovákia
Berlád	Bârla	Románia
Berlistye	Berlişte	Románia
Bernád	Bernadea	Románia
Bernátfalva	Valaliky	Szlovákia
Bernic	Brnice	Szlovákia
Berszászka	Berzasca	Románia
Bértelek	Breboja	Ukrajna
Bertény	Birtin	Románia
Bertót	Bertotovce	Szlovákia
Berve	Berghin	Románia
Berzenke	Bzenov	Szlovákia
Berzesd	Brăzeşti	Románia
Berzéte	Brzotín	Szlovákia
Berzétekőrös	Kružná	Szlovákia
Berzevice	Brezovica	Szlovákia
Berzseny	Brezany	Szlovákia
Abafája	Apalina	Románia
Abafalva	Abovce	Szlovákia
Abara	Oborín	Szlovákia
Abásfalva	Aldea	Románia
Abaszállás	Lehota	Szlovákia
Abaszéplak	Krásna nad Hornádom	Szlovákia
Abaújharaszti	Chrastné	Szlovákia
Abaújnádasd	Trstené pri Hornáde	Szlovákia
Abaújrákos	Rákoš	Szlovákia
Abaújszakaly	Sokoľany	Szlovákia
Abaújszina	Seňa	Szlovákia
Abdalóc	Edlitz im Burgenland	Ausztria
Ábelfalva	Abelová	Szlovákia
Abos	Obišovce	Szlovákia
Abosfalva	Abuş	Románia
Ábrahám	Abrahám	Szlovákia
Ábrahámfalva	Abrahamovce	Szlovákia
Ábrahámpikfalva	Abrahamovce	Szlovákia
Ábránfalva	Obrăneşti	Románia
Ábránka	Abranka	Ukrajna
Ábrány	Abranovce	Szlovákia
Abroncsos	Obručné	Szlovákia
Abrudbánya	Abrud	Románia
Abrudfalva	Abrud-Sat	Románia
Abrudkerpenyes	Cărpiniş	Románia
Abucsa	Abucea	Románia
Ácsfalva	Aciuţa	Románia
Ácsva	Avram Iancu	Románia
Ada	Ada	Szerbia
Adalin	Adalin	Románia
Ádámfalva	Adamovské Kochanovce	Szlovákia
Ádámfölde	Mošurov	Szlovákia
Ádámos	Adămuş	Románia
Adjisten	Mičunovo	Szerbia
Adorján	Adorjan	Szerbia
Adorján	Adrian	Románia
Adorjánfalva	Odranci	Szlovénia
Aga	Brestovăţ	Románia
Agadics	Agadici	Románia
Ágcsernyő	Čierná	Szlovákia
Ágó	Agov	Szlovákia
Ágónyír	Nýrovce	Szlovákia
Ágostháza	Bystrany	Szlovákia
Ágostonfalva	Augustin	Románia
Ágostonlak	Závadka nad Hronom	Szlovákia
Ágotakövesd	Coveş	Románia
Ágya	Adea	Románia
Agyagfalva	Lutiţa	Románia
Agyagospatak	Hlinné	Szlovákia
Agyidóc	Adidovce	Szlovákia
Aha	Horný Ohaj	Szlovákia
Áj	Háj	Szlovákia
Ájfalucska	Hačava	Szlovákia
Ajnácskő	Hajnáčka	Szlovákia
Ajnád	Nădejdea	Románia
Ajton	Aiton	Románia
Akli	Klinove	Ukrajna
Aklihegy	Klinovecka Hora	Ukrajna
Aklitanya	Nove Klinove	Ukrajna
Aklos	Uklin	Ukrajna
Akmár	Acmariu	Románia
Aknasugatag	Ocna Şugatag	Románia
Aknaszlatina	Szolotvina	Ukrajna
Ákos	Acâş	Románia
Ákosfalva	Acăţari	Románia
Alamor	Alămor	Románia
Albár	Dolný Bar	Szlovákia
Albertfalu	Grabovac	Horvátország
Albis	Albiş	Románia
Alcina	Alţina	Románia
Alcsil	Cil	Románia
Áldásos	Hălăliş	Románia
Aldoboly	Dobolii de Jos	Románia
Áldófalva	Aldeşti	Románia
Aldorf	Unirea	Románia
Alfüged	Ciugudu de Jos	Románia
Algyógy	Geoagiu	Románia
Alhó	Markt Allhau	Ausztria
Alibunár	Alibunar	Szerbia
